index,status,uuid,experiment,file_path,image,args,params,cpu_request,memory_request,disk_request,GPU,next_job
30,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T000000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T000000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
31,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T010001-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T010001-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
32,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T020001-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T020001-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
33,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T030001-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T030001-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
34,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T040001-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T040001-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
35,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T050000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T050000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
36,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T060000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T060000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
37,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T070001-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T070001-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
38,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T080000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T080000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
39,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T090000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T090000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
40,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T100001-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T100001-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
41,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T110002-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T110002-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
42,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T120000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T120000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
43,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T130000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T130000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
